Chain ID,Transaction Hash,User,Log Index,Effective PT Trade Volume,Swap Fee,Effective Implied Yield,Post Swap Implied Yield
42161,0x0e07867b9a0e8a95d2c170857c71cc4c07d285f77e26a698cac5393055e1f647,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,23,28646.332419,27.298407,0.034109,0.03516
42161,0x7fc8cd8d2f8cfea308884dca1ab6b2b5fa61a4ae9de0259f3077aaac5f530cef,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,50,67801.05838,47.730145,0.107865,0.145347
42161,0xabbc41c1432a740023be3aaccd669012a8a013a1a86a6810591802ef8d55fc2d,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,12,46.526573,0.032754,0.060456,0.08331
42161,0xc473720b6e6cdbbe0ff2f60fe7bcca0cbff9cc3a656b150da1bf4ca7375e9963,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,16,13.755618,0.013107,0.03046,0.031455
42161,0x0558f88219567d7b2a1c32499285940c783e32d9c75a465a64d2286f1c140883,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,19,609.708047,0.581039,0.032967,0.035002
42161,0x91d3522790550d08e4e64051e5fe970387331302a8f79e5e386fc553c2ebbf43,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,55,49.606422,0.034923,0.105867,0.143814
56,0x5bdac10c11905295e338d257da843d90184651103a4e560304323eb31b9c9e63,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,61,1742.181916,3.394261,0.073355,0.037313
42161,0x2d1bb7be188277161997f85c7111c0c93235e50c4163847f879dc8ba3b899484,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,14,819.503312,0.57696,0.10665,0.143815
42161,0x7502369495976c5c436d9a78a27fa6286df26ef749f0d7d6d0e85ba1f30b0624,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,5,5.840944,0.01138,0.068395,0.033905
42161,0xb743c46621a390c2860d57b567f17ac2a39f601d84bc4e4a26c5f1829d13378e,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,5,11.314176,0.007965,0.06046,0.083308
42161,0xb32ec037e500e54c6741f301f76edd661672e8aa9635bef2b5dd99cd16da0991,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,39,101.850097,0.097068,0.033958,0.035005
42161,0x5a9d79e9ebd8999deba504cf0f54373a89e54b38900f6e102afcebdaa96ba702,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,50,83059.914957,58.481537,0.10668,0.143796
42161,0x28f887b0645cc7e4be4bbac22138e6b5dd54847e6afd98bf8866c286889ff74c,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,40,115.897015,0.081607,0.10439,0.141893
